stop_id,stop_name,stop_lat,stop_lon,location_type
740000438,Skyttorp station,60.079692,17.737154,
740000439,Forsheda station,57.163422,13.833088,
740000440,Bruksvägen,57.828223,12.014746,
740000441,Olofström station,56.279538,14.520084,
740000442,Järpås station,58.379245,12.969946,
740000445,Kall,63.473668,13.230246,
740000446,Äppelbo E16,60.490904,14.001138,
740000448,Edsåsdalen,63.315642,13.105982,
740000449,Ljungdalen,62.852864,12.790561,
740000450,Tollarp bibliotek,55.934444,13.975181,
740000451,Vilhelmina station,64.624719,16.656023,
740000452,Offerdal Ede,63.466260,14.013117,
740000453,Stora Blåsjön,64.836541,14.083622,
740000454,Stugun busstation,63.167567,15.596581,
740000455,Vålådalen fjällstation,63.148743,12.965210,
740000456,Kode station,57.944418,11.851006,
740000458,Vattholma station,60.025679,17.731059,
740000460,Färila busstation,61.798256,15.838680,
740000462,Mockfjärd gamla station,60.495737,14.958590,
740000463,Kårböle Pilgrimen,61.987153,15.298860,
740000464,Övertorneå busstation,66.390104,23.657564,
740000465,Bredaryd station,57.176325,13.738071,
740000466,Lugnås station,58.644556,13.702212,
740000467,Ullånger busstation,63.010922,18.188538,
740000468,Lyrestad station,58.805210,14.056947,
740000469,Sturkö Kvarnen,56.112956,15.681575,
740000470,Öregrund färjeläget,60.340584,18.446302,
740000471,Sikeå E4,64.168860,20.920379,
740000472,Yttermalung gamla station,60.580801,13.823709,
740000474,Klågerup busstation,55.597571,13.260224,
740000475,Bruksvallarna,62.637121,12.444377,
740000476,Örbyhus station,60.228695,17.705769,
740000477,Byske busstation,64.953987,21.203565,
740000478,Källby station,58.510590,13.302225,
740000480,Uddevalla Kampenhof,58.349914,11.930439,
740000481,Fjällnäs Högfjällspensionat,62.598283,12.179991,
740000482,Grythyttan station,59.704247,14.530401,
740000483,Gysinge brukshandel,60.289729,16.885505,
740000484,Hova station,58.854713,14.215386,
740000485,Näsviken centrum,61.756719,16.866618,
740000486,Åkersjön,63.765047,14.080465,
740000488,Jämshög Bygatan,56.240677,14.530838,
740000489,Bispgården,63.027266,16.624750,
740000490,Klevshult station,57.352724,14.097368,
740000491,Funäsdalen busstation,62.545106,12.545373,
740000492,Arlanda Södra/ Arlanda Express,59.646172,17.928350,
740000493,Hede Härjedalen,62.418327,13.514385,
740000495,Klövsjö Torpvägen,62.519506,14.193626,
740000496,Falerum station,58.143425,16.207883,
740000497,Lofsdalen,62.112461,13.273735,
740000498,Lövånger busstation,64.371137,21.306148,
740000499,Älvsered,57.241178,12.865692,
740000500,Berga station,57.216345,16.032714,
740000501,Rottneros station,59.795241,13.129147,
740000502,Svenljunga busstation,57.495252,13.108710,
740000503,Ytterhogdal station,62.197256,14.855226,
740000504,Västra Ämtervik station,59.727548,13.146175,
740000505,Smygehamn Ängavägen,55.345403,13.377707,
740000506,Ramundberget,62.700778,12.389352,
740000507,Spiken,58.690092,13.200766,
740000508,Tolita station,59.577857,13.239823,
740000510,Ekenässjön station,57.489661,15.019303,
740000511,Hovmantorp station,56.785842,15.140662,
740000512,Götene busstation,58.527416,13.491417,
740000513,Gråbo busstation,57.836805,12.298360,
740000514,Backe busstation,63.810717,16.405256,
740000515,Henån busstation,58.234591,11.681412,
740000516,Borensbergs bussterminal,58.562700,15.276472,
740000517,Simlångsdalen,56.720708,13.130409,
740000518,Anderstorp station,57.280395,13.627274,
740000519,Lagan Torggatan,56.916360,13.987339,
740000520,Påarp station,56.029265,12.817093,
740000521,Rödeby centrum,56.260695,15.618051,
740000522,Tjustskolan station,57.753294,16.631410,
740000523,Tranemo busstation,57.485131,13.351559,
740000524,Korsberga centrum,57.301195,15.125193,
740000525,Byxelkrok centrum,57.324395,17.008569,
740000526,Brunflo station,63.075861,14.832062,
740000527,Rossön södra,63.921244,16.339340,
740000529,Tänndalen,62.549243,12.309829,
740000530,Tännäs,62.442516,12.680770,
740000531,Blidsberg,57.930812,13.494387,
740000532,Vemdalen by,62.449580,13.863530,
740000533,Norrahammar station,57.704537,14.115452,
740000535,Näsåker Åkeriet,63.440681,16.907150,
740000536,Traryd Skolgatan,56.579560,13.746557,
740000537,Skånes-Fagerhult kyrka,56.368481,13.470006,
740000538,Junsele busstation,63.696236,16.879896,
740000539,Taberg station,57.678758,14.087063,
740000540,Lerum station,57.769360,12.272317,
740000541,Ånäset busstn,64.279721,21.043304,
740000542,Bäckebron station,59.661352,13.166226,
740000543,Gullringen station,57.802565,15.703518,
